# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8915254932647645,3.2750499705274954,178.81959534967754,0,1.0,-13.742712715280486,180.0,0.0,0.0
 0.07840054216144685,1.8884528229569733,3.275113282477968,178.81959534967754,0.07840054216144685,1.0,-13.742712715280486,180.0,-74.90894133694212,0.0
 0.11047534750744942,1.8854296654661415,3.275302587901411,176.41690563762,0.11047534750744942,1.0,-14.211176302627285,180.0,-100.53102505628635,0.0
 0.1348545954733978,1.88245575369767,3.275616941155864,173.96603484950182,0.1348545954733978,1.0,-14.619416490784282,180.0,-122.18285633679433,0.0
 0.15524493141592904,1.8795308205569596,3.2760553965993657,171.47468536237656,0.15524493141592907,1.0000000000000013,-14.957389045160479,180.0,-141.35445077990758,0.0
 0.1730955421365206,1.876654598949411,3.276617008589955,168.9514220878814,0.17309554213652062,1.0,-15.21645573476412,180.0,-158.50306830178508,0.0
 0.18915770169115118,1.8738268217804253,3.2773008314856704,166.40552051491963,0.1891577016911512,1.0,-15.389898932866364,180.0,-173.76372968607964,0.0
 0.203883121496241,1.871047221955402,3.2781059196445512,163.84677664839396,0.20388312149624102,1.0,-15.473339536225174,180.0,-187.14965601721252,2.076570772533082e-12
 0.217569969932297,1.868315532379743,3.279031327424636,161.28528767162635,0.21756996993229702,1.0,-15.465011843568467,180.00000000000003,-198.63399735150242,-2.2103983788477423e-12
 0.2304281540960132,1.865631485958848,3.2800761091839634,158.73121515250563,0.23042815409601322,1.0,-15.365864005533526,180.0,-208.19028948019297,0.0
 0.24261253930393162,1.8629948155981186,3.2812393192805733,156.1945444689309,0.24261253930393165,1.0,-15.17947321300666,180.0,-215.81401166512504,0.0
 0.2542414873559872,1.860405254202955,3.2825200120725033,153.68485453837144,0.25424148735598723,1.0000000000000024,-14.91178722757999,180.0,-220.0697357886674,0.0
 0.2654822138572048,1.8578625346787578,3.2839172419177936,151.21111082717582,0.26197475014488136,0.6879682365776326,-14.570723950422028,180.0,-219.6168412677144,0.0
 0.27654520262266225,1.8553663899309283,3.285430063174482,148.78149217952583,0.26569376529124933,0.33616730751639506,-14.165674980305264,180.0,-216.62456503859786,2.5888292034075676e-12
 0.2875237984268944,1.8529165528648666,3.2870575302006073,146.40325863869947,0.2701029585766057,0.4016172344788096,-13.706965430570298,180.00000000000003,-213.16217587468392,-2.6107241787546592e-12
 0.29841032166121073,1.8505127563859733,3.2887986973542094,144.0826636583623,0.27518548703170703,0.4668642454259644,-13.205320555678849,180.0,-209.29088412023182,0.0
 0.30919795452342963,1.8481547333996495,3.2906526189933265,141.824910439064,0.2809234658475987,0.5319034202570576,-12.671381437543598,180.0,-205.07369020072403,0.0
 0.3198807555588264,1.8458422168112962,3.2926183494759975,139.6341490090551,0.28729821006210465,0.5967296585777138,-12.115299633994566,180.0,-200.57327891308947,0.0
 0.33045365263259063,1.843574939526313,3.2946949431602612,137.5135083753596,0.29429046535337633,0.661337686585673,-11.546427063496841,180.0,-195.85024304128805,-2.7175014802495722e-12
 0.34091241765515606,1.8413526344501017,3.296881454404157,135.46515670377843,0.3018806219330405,0.7257220678816221,-10.973104822578636,179.99999999999997,-190.9616845659552,2.7483932734806288e-12
 0.351253626718883,1.8391750344880622,3.299176937565723,133.4903820005204,0.31004890728779855,0.7898772091756006,-10.402544680177728,180.0,-185.96020206660455,0.0
 0.3614746093302306,1.8370418725455957,3.3015804470029986,131.58968600879496,0.3187755553672292,0.853797370689395,-9.840790311459862,180.0,-180.89324169377505,0.0
 0.3715733902072722,1.8349528815281024,3.3040910370740226,129.7628847987918,0.32804095120211463,0.9174766684906752,-9.292741897529224,180.0,-175.80276826085307,0.0
 0.3815486267343596,1.8329077943409837,3.3067077621368335,128.00921060327306,0.33782575128905207,0.9809090802375653,-8.76222694687903,180.0,-170.61863543522526,2.8833829322826656e-12
 0.3914056974384244,1.8309063438896396,3.309429676549471,126.327410650357,0.3476828219931169,1.0,-8.252101364893123,180.00000000000003,-165.25299517904025,-2.914406754833147e-12
 0.40115783975118513,1.8289482630794713,3.312255834669973,124.71583992376102,0.3574349643058776,1.0,-7.764367111940625,180.0,-159.74521378455097,-2.9419098478035586e-12
 0.4108188120109652,1.8270332848158792,3.3151852908563786,123.17254584475585,0.36709593656565764,0.9999999999999942,-7.300295615442444,179.99999999999997,-154.17137350311899,0.0
 0.42040037080405585,1.825161142004264,3.3182170994667275,121.69534376532417,0.3766774953587483,1.0,-6.8605489467096445,179.99999999999997,-148.59442479163997,5.975839277403086e-12
 0.42991257757905305,1.8233315675500266,3.3213503148590577,120.28188287109433,0.3861897021337454,0.9999999999999941,-6.445293349055726,180.00000000000003,-143.0655371076239,-3.0071191474763092e-12
 0.4393640519093125,1.8215442943585676,3.324583991391408,118.92970261957683,0.3956411764640049,1.0,-6.054301841843589,180.0,-137.6255024734621,0.0
 0.4487621822752291,1.8197990553352874,3.3279171834218184,117.63628020565645,0.40503930682992156,1.000000000000006,-5.687044296242359,180.0,-132.30611733810835,0.0
 0.4581133026388293,1.8180955833855872,3.3313489453083265,116.3990697775872,0.4143904271935218,1.000000000000006,-5.342764594188171,180.0,-127.13149185011312,0.0
 0.467422841196905,1.8164336114148674,3.334878331408972,115.21553425226288,0.4236999657515975,1.0,-5.020545309364308,180.0,-122.11925491188688,0.0
